Fecha,CPI Core,CPI Tradable,CPI Non-Tradable,CPI,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index),Wheat (US$ per ton),Corn  (US$ per ton),Soybean oil (US$ per ton),Crude oil (US$ per barrel)
2004-09-01,0.09969544152664006,0.2711860783275085,0.1397863477798039,0.19357666195752635,0.3275333651017264,0.27747630087712905,0.09505143257637173,0.1793858065400744,0.20871865320468305,0.049910889615144734,0.4941963720148218,0.259774863803423,9.79575167249491,2.75,0.03663153124516505,0.02045196985619735,-0.00016686927460762835,0.07584729746755547,-0.0847821420905781,-0.003833610879821925,0.020974419711095926
2004-10-01,0.09894086338794393,0.2347553181526114,0.12920422618047275,0.1722600494443942,0.2766797679906366,0.23524124474711994,0.09832159091277425,0.14225054115833802,0.2014215910849983,0.05451021224825504,0.41644199085340095,0.217788933927183,9.93580576416647,3.0,0.022797936628174753,0.08753108179435687,0.00023752729493287106,-0.011669148277651753,-0.11109622085231796,-0.11745843791745425,0.160940851419638
2004-11-01,0.09815092204771128,0.201791661284856,0.12324429632035777,0.155123167147293,0.23612362184348543,0.20099731157160183,0.10131124725760075,0.11419390524964539,0.1939298024201312,0.06046040914874699,0.35169882010165454,0.18318584157350393,9.13248713228398,3.0,0.0200811480630676,0.014108953598653384,-0.002861867699140097,0.04830259583076013,0.004145936981757803,-0.009958508563247315,-0.08818187511742914
2004-12-01,0.0968858097620018,0.17485540508573091,0.11855499059101898,0.14125667532572106,0.20425332005023059,0.17312766495174306,0.10396249709433741,0.0906832699004051,0.1885524377527155,0.06731336607565673,0.30605502331477663,0.1598749736249442,9.99051988942136,3.0,0.025998702621055747,0.023795136197616307,9.356295527029879e-05,0.005715521350887931,0.04473485800452415,-0.04978809795931105,-0.10795653069817845
2005-01-01,0.09523027528971932,0.1542535710853836,0.1134486310219988,0.12974331982636716,0.1787870218425966,0.1499680085412984,0.10613368232246871,0.0701670791682598,0.1848323915715765,0.07488774072070833,0.27447341759602184,0.14967159582125658,9.31058194949794,3.0,0.02312355254167775,0.039108455047682567,-0.0010004930587689254,-0.007874650612772927,-0.0022452088846125484,-0.06043662098310287,0.08364431652804605
2005-02-01,0.09327075182454465,0.1382429355051081,0.10774108479288805,0.11975311936373799,0.15753151523739525,0.13003247187218267,0.1077121283708407,0.052519715021849406,0.18126566196049393,0.08282595573232066,0.25023821342227315,0.15076588325188528,8.91552852616557,3.0,0.02228216703355934,0.01546666666666674,0.002351721131589324,-0.027507788161993618,0.008964879852125796,0.016506863730968657,0.02669035172308698
2005-03-01,0.09180308838051737,0.12565697790021882,0.10557001674990743,0.11326969376994052,0.14399072040694683,0.11668835389236107,0.10896397106517208,0.04226010130153493,0.17757593333271277,0.0913141662864502,0.23118973102022522,0.1625114319032957,8.88611081060213,3.0,0.018802825763763575,0.017031812725090134,-0.006459959128311543,-0.15856883999938698,0.0538012115129578,0.14364514966953013,0.12092560563003896
2005-04-01,0.09158513460546838,0.11670466590988411,0.11209610460698399,0.11341212977564827,0.14452109687285122,0.11543506882006692,0.11024320680032233,0.045810989234314495,0.17409613431955168,0.10024803049641297,0.21693643514658312,0.18370531888190844,9.18302020453614,3.0,0.025102095782753242,0.00545924013279242,-0.0011868267887240602,0.09628957021945639,-0.01329230104740331,-0.021819310881666776,-0.018693198007541767
2005-05-01,0.09282176043315765,0.11184042265988171,0.1281636738841303,0.12084770238847543,0.16043293162887284,0.1276258848543121,0.11146162080122358,0.0650883124294052,0.1705078476223089,0.10870359563093246,0.20720187222908193,0.21026857926591566,9.48836756286253,3.0,0.028750450793467053,0.028395333480079277,-0.0012617106651862109,0.019421460270115487,-0.006532732306707145,0.009844153707518455,-0.05780934388829728
2005-06-01,0.095525331546665,0.11243502787843092,0.1504647512995474,0.1342123312792124,0.1883898533847043,0.15074396795506237,0.1127719105170375,0.09744132524656146,0.16672303124312532,0.11605082958426606,0.20220727993849177,0.23789243613292432,9.84816848681634,3.0,0.02522397557503364,-0.014126712328767166,-0.0026304845721162318,0.011334427549468673,0.04643288996372408,0.046847967653519174,0.1296259197202605
2005-07-01,0.0994099602703832,0.12021198765778751,0.17461262627790863,0.15164385374448214,0.22431252868481422,0.18080349131576254,0.11476903564106652,0.13813162910402113,0.16333223185325896,0.12249459809728945,0.20394806351286446,0.26390462580848245,10.8921658343438,3.0,0.020155675709270238,0.10602113185699813,-0.0010450197222716673,0.011722127685019679,0.08466219859795165,0.03975991079773755,0.0464874085965401
2005-08-01,0.10363829777231731,0.1341187309855359,0.19350493912788458,0.16850984928519624,0.2584779214613202,0.20962885637234221,0.1171771136189517,0.17674072570715071,0.16088903858035372,0.12739218163257499,0.21606662439943575,0.28573645300083056,9.97055335628208,3.0,0.017666948013411954,-0.10848655368710336,0.001799288861903392,0.0324646320380888,-0.09633152173912995,-0.07569914270165756,0.1012932569521463
2005-09-01,0.10719126321313514,0.15209433657318921,0.20122094504182828,0.18048308090571555,0.2820731236185371,0.2296216735561497,0.11956779566243919,0.20331443167216812,0.15999083712152065,0.13027636559855477,0.23759658150404944,0.3015036448275237,10.0011055375802,3.0,0.012434958366885684,0.005137614678899061,0.0009436752884905975,0.09130292918813132,-0.11016115143314065,-0.02058677258278141,0.010180789063612972
2005-10-01,0.10944961037589244,0.1698971152245647,0.19598603141838936,0.18480664528947638,0.28925618052463276,0.23611576861791525,0.12155085290251001,0.2130010309878851,0.1597640768681471,0.1310184969496323,0.2596494430295467,0.30934223324797994,9.28292931649162,3.0,0.019634611396136314,-0.01080686381891205,-0.0014457116281709759,0.057018267591239846,-0.04703863527392982,0.050636455016018767,-0.051910673771458415
2005-11-01,0.11069568461403598,0.18296155023850294,0.18098251245717728,0.18142339447773967,0.2794979740497969,0.2291421414581982,0.12274866662808172,0.20839652515425572,0.15760405283821532,0.13034417590641034,0.2711925449207372,0.3076422110886871,9.22842401578731,3.0,0.007616925307759592,-0.00029526832509041423,-0.0006799843313103349,-0.029367985652425488,0.02211159071048341,-0.06839998855499718,-0.06299687978621737
2005-12-01,0.11170010709392787,0.18843986870221152,0.16225490762903727,0.17270370928666706,0.257370545723059,0.21308258741431632,0.1231121985553471,0.1958668905523435,0.15235687672277323,0.12905372585731534,0.2657567645156975,0.2973423107799231,9.26077066269383,3.25,0.019379887934251716,0.040906741490068566,-0.004174748751111235,0.021286065874219773,0.08596300326441764,-0.07223767484984145,0.01790335151987521
2006-01-01,0.11256068606769289,0.18436871941577934,0.14690904580393493,0.16204124761452246,0.2307884985540943,0.19436617863410213,0.12241394356450008,0.1830042350751581,0.14372429654791113,0.12729506723732997,0.24424667537598932,0.27988725000717346,9.56018220217793,3.5,0.017255350862605212,0.002979357310066044,0.08155298733989635,-0.0036147358166521704,0.05686372745491064,0.013947425592005791,0.09850915411533223
2006-02-01,0.11343981239601686,0.17178205465788504,0.1393987859259525,0.15246383221250692,0.20680544008556223,0.17842013251699498,0.12085838832197766,0.1761400543968257,0.13186304511130706,0.125235017238789,0.211109086721233,0.2576856169784232,9.42184008766983,3.75,-0.004828093729492444,-0.010608953957139788,-0.005452880116245118,0.03600833633510292,0.04655131547760116,0.005465803908124345,-0.05631804937892948
2006-03-01,0.11434633667287802,0.15324695371415678,0.1371514213607832,0.1435068823335147,0.18429568408425745,0.16429036740106828,0.11854168071926827,0.17373221889386103,0.11726714647423153,0.12288061819603668,0.17101117781487668,0.2319451591605532,9.47751751076775,4.0,0.016138795768058323,0.03452712845807415,-0.004550821655397996,-0.030353420475938253,-0.00890361993890898,0.018647517384272838,0.0186506990258688
2006-04-01,0.11537142483259298,0.13197034382803027,0.1354477316080163,0.13372918576491014,0.1596505396572538,0.14890089559342276,0.11578376575414502,0.17114800244010467,0.1011585008651656,0.12064390808111002,0.12966580610226885,0.20250123356370064,9.84450150420507,4.25,0.007159531656497853,0.0014510779436152088,-0.005074193157485807,0.061534127100788316,0.07634972677595586,-0.01271435717858993,0.10788480745755091
2006-05-01,0.11666971980383536,0.11045415723193203,0.12965369828577153,0.12141916938166225,0.12869725840977045,0.1289606226410949,0.11293355446176606,0.16284725297505412,0.0853502171803346,0.11888649332347348,0.09260887941239923,0.16934429366152468,9.86173025147523,4.5,-0.00681896887392186,-0.017801697371144676,0.005307539714911824,0.0736515600154164,0.013341997847409415,0.08823338656981394,0.02041940670028941
2006-06-01,0.11811566656264061,0.0905246421010508,0.11632046652319139,0.1053128745680185,0.08865386682948997,0.10210113825809411,0.11008869045671792,0.1442506811864336,0.07154332989053439,0.11809793004173147,0.06483265288305708,0.13598083188740162,10.3661377375723,4.5,0.012013489496881746,0.012644889357218192,0.0013271313190503786,0.0033181495746814615,-0.035206777190745275,-0.016774659977684903,0.0011969354881895544
2006-07-01,0.11948466523935805,0.074568746509679,0.09689142448779746,0.0872866374945873,0.0441767699592463,0.07138606169399661,0.1076855163827934,0.11665827134513372,0.06213399827592775,0.11857928893047895,0.05076884255486345,0.10805907648592475,10.9277877773441,4.5,0.014356300085080376,0.015469996531390917,0.0017073135148761853,0.013970216496756116,0.024414456336281143,0.0624525549372581,0.04801502898778787
2006-08-01,0.12096480101894756,0.0635613128434017,0.07950833343472338,0.07255364340572533,0.007285650623795643,0.04579479380208239,0.1062583632227359,0.08910699004797566,0.058848841796786525,0.12071870830321699,0.05196691204590942,0.09053549043333714,9.78131126298561,4.5,0.01630080989745064,0.05062166962699832,-0.0013915277054713515,-0.05543146227497209,-0.059583466095067594,-0.057111274871040285,-0.01767909712811322
2006-09-01,0.12317500673544156,0.05689547105193927,0.07291419103937055,0.06598540010104016,-0.011302182746511,0.034079334932157056,0.10607283728146488,0.07243930211559163,0.06131718227184232,0.12424576208389061,0.0678632899243906,0.08664522728173993,9.40106707947963,4.5,0.019092796663364275,-0.013459912868196922,-0.00027360634157669317,0.029627688584383582,0.06076100125259298,0.001817926429355854,-0.1230219907771557
2006-10-01,0.1269359424763617,0.054573845986332484,0.0813963424145326,0.07006964804175814,-0.006786632896125564,0.04091700269326769,0.10687349941549128,0.0736487551336955,0.06794622447832781,0.12849255954689404,0.09868536844258319,0.09757704213730088,9.29705045051053,4.5,0.017335207381714568,0.03302135512786708,-0.00043770252847830093,0.09921044548179792,0.2771189184813352,0.06956448202959753,-0.08061491363230977
2006-11-01,0.1328520900863239,0.0576354612746525,0.10434564163959242,0.08487673763010538,0.02013131383150464,0.0670747393338732,0.1077457071348931,0.09482825960548438,0.07691379179281141,0.13273897826461323,0.14246946950298747,0.12220258885283355,9.25688997002771,4.5,0.02026126581583365,0.05104319530402601,0.002829535339578637,-0.004467385195225493,0.22778702163061837,0.11871817578038524,0.0009338941843861637
2006-12-01,0.14098089642683775,0.06797271668162937,0.13816546153544423,0.10905639588719772,0.06619905813132232,0.11085654361264008,0.1077656529263157,0.1354350568264606,0.086166446825895,0.13622891764757022,0.19981675719230277,0.15561124732103623,10.0495398442053,4.5,0.02100277007611928,0.04868572816123362,-0.00025805105357246116,-0.022615069398936982,0.03654515065275543,-0.006732269582910511,0.05095531110675311
