Fecha,CPI Core,CPI Tradable,CPI Non-Tradable,CPI,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index)
2006-04-01,0.11524729502950391,0.12847078942853052,0.13625732251407455,0.13278219545752862,0.15769934530877794,0.14627833124853154,0.11698336479362714,0.16942439726403194,0.10092817718510687,0.12132285477121585,0.12129012677386194,0.19584541571086156,9.84450150420507,4.25,0.007159531656497853,0.0014510779436152088,-0.005074193157485807
2006-05-01,0.11612647801666821,0.10719381274931168,0.1290063437079586,0.11972258857633679,0.12551953431010257,0.1251793251273591,0.1138937052928417,0.15956427407717244,0.08515561074303632,0.11937961179850665,0.08535647347818921,0.16038335824498268,9.86173025147523,4.5,-0.00681896887392186,-0.017801697371144676,0.005307539714911824
2006-06-01,0.11704201103281266,0.08827794285535623,0.1143628973135695,0.1032670563036191,0.08531797037491569,0.09805563828757671,0.11059425868307482,0.1399975157917605,0.07162515288135499,0.11815628050548721,0.06075134251852115,0.12627796069122282,10.3661377375723,4.5,0.012013489496881746,0.012644889357218192,0.0013271313190503786
2006-07-01,0.11790703734576499,0.07346696794060972,0.09380101999021918,0.08504808198800203,0.04100895990447128,0.06751879214060032,0.10754289724001195,0.11182149224266826,0.0624264002837446,0.1180245959628786,0.050808518909074514,0.09905304575251087,10.9277877773441,4.5,0.014356300085080376,0.015469996531390917,0.0017073135148761853
2006-08-01,0.1190859756576284,0.06348962047846042,0.07573024731012283,0.07033595959602726,0.004536476566630111,0.042445019253420195,0.10550610997734429,0.08429598846906212,0.05914265348718045,0.11967917698703058,0.0558802590212705,0.08387342020473339,9.78131126298561,4.5,0.01630080989745064,0.05062166962699832,-0.0013915277054713515
2006-09-01,0.12133735245832769,0.05760162971472407,0.0695772157354262,0.06435012284528194,-0.012739074899500394,0.03200854787045122,0.10499229949411655,0.06877583321615047,0.06158704310914518,0.12310446728856654,0.0748696428625637,0.08412787468295772,9.40106707947963,4.5,0.019092796663364275,-0.013459912868196922,-0.00027360634157669317
2006-10-01,0.12551850711431822,0.05571566632239911,0.07948743577471876,0.0694551734655049,-0.00637431310920777,0.04071512924421306,0.10570405536670847,0.0720041417267883,0.06820408991082982,0.12757019208579853,0.1075169346593039,0.1003172089249412,9.29705045051053,4.5,0.017335207381714568,0.03302135512786708,-0.00043770252847830093
2006-11-01,0.13220602230605008,0.05873761427775888,0.10451296011968704,0.08546093892459472,0.022347319997656254,0.06885433007844172,0.10673230199324413,0.09559207546761134,0.0771389996489911,0.13226952494824867,0.15101584365805903,0.13044605654274016,9.25688997002771,4.5,0.02026126581583365,0.05104319530402601,0.002829535339578637
2006-12-01,0.14123356497715736,0.06850956074039935,0.14066964132440413,0.11076869125802516,0.06989110054592113,0.11415672286047529,0.10733724245183866,0.13842515803632047,0.08641932414190866,0.13635849007770662,0.2060223248581105,0.16836142715869168,10.0495398442053,4.5,0.02100277007611928,0.04868572816123362,-0.00025805105357246116
2007-01-01,0.1526701399658132,0.0877264741502714,0.18004793847595832,0.14183440379997453,0.12780414910031934,0.17044502317102336,0.10735743344110775,0.19435931149783875,0.09493817788018975,0.13929680911025913,0.2773992241055854,0.20803057930664823,8.97487700494481,4.5,0.027225953390507263,0.03322720694645431,-9.426981893245756e-05
