Fecha,CPI,CPI Tradable,CPI Non-Tradable,CPI Core,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index),Wheat (US$ per ton),Corn  (US$ per ton),Soybean oil (US$ per ton),Crude oil (US$ per barrel)
2009-04-01,0.11532526304626893,-0.015198422817413794,0.20534280520416354,0.2787813763864909,-0.10447900623309926,0.03177062626927376,0.22834545838514989,0.1628877081110097,0.07161776561769587,0.2406050390904224,-0.6153521000881365,-0.37942858170285,8.8776399503982,5.0,-0.006444404620069122,0.00484981732354739,-0.0001900772514108473,-0.022801987767583687,0.029226213467236528,0.16576754102597246,0.03804909499473763
2009-05-01,0.08820008007643021,-0.00944792765429239,0.1557921203902557,0.25192392593224944,-0.13113665262439764,0.011104516286510602,0.19677224126712828,0.13211183351039044,0.05097690009902624,0.21905680151140233,-0.5518352139488945,-0.3844616697850927,8.22146967540043,4.0,0.003148844837117748,0.0035393674185140167,0.00043024491014742594,0.09614060970487381,0.08365798158142357,0.12340178468339147,0.1881857509083915
2009-06-01,0.06951501947211652,0.009686927309216916,0.11156436130008464,0.22693935386442726,-0.14062207981902036,0.0039086467895766775,0.1680107569203341,0.1080241926219985,0.04078987794419531,0.1970604985369298,-0.4582440480203308,-0.3557691238931112,8.37258648376245,3.0,0.011951904029301463,-0.012792971881111947,0.0034073344800349403,0.0003857624756780087,-0.007014149232071665,-0.025992651722663407,0.17777650063108874
2009-07-01,0.05867035657692312,0.04012568988138727,0.0731115055835105,0.2046966269569718,-0.13591881086719815,0.006792196347353832,0.14419369809359306,0.0884641680887114,0.04125397043244271,0.17595365637284024,-0.3431166992773085,-0.2977584203189794,9.3340612076001,2.0,0.01569014672640945,0.04218902240987332,-0.001863404075389541,-0.1609790674012309,-0.18781274324474795,-0.1441156748340957,-0.07724130376607563
2009-08-01,0.05620123356837108,0.07780651353210617,0.0439514978242305,0.18589582810391017,-0.11629027808610409,0.02017391456848644,0.12605750383812375,0.07642797614305794,0.0507093368319912,0.1567590001216166,-0.21673002979219327,-0.2176288461456646,7.80579700395871,1.25,0.01247885616317923,-0.004175885817569891,0.002078351389055655,-0.07954744620259335,-0.00717806290095202,0.07822017365638811,0.10554557337098913
2009-09-01,0.06231016405737944,0.11687966241734309,0.02818448987315783,0.17109734494487783,-0.08129046918468481,0.0458917412677085,0.11225163836639038,0.07753089252956846,0.06478661700334237,0.140016417936642,-0.09251321398186202,-0.12710615324753824,8.56548050070261,1.25,0.009182989976006528,0.005476451259583737,0.0008726259905695866,-0.10728324157151414,-0.03680438274910769,-0.08257049776735848,-0.02397001098021212
2009-10-01,0.07537794951876885,0.15088297301334508,0.027347406570345765,0.16027542166472084,-0.034346302745651335,0.08186799386459723,0.10177965648685099,0.09363141155431602,0.07859274639918995,0.12586051971697418,0.01658778788372683,-0.03752461499420366,8.0541580411717,1.25,0.00953418706629705,0.024587612822907,-0.0012247586838809443,0.09526027113733115,0.13890136207155113,0.09166641739702608,0.09191619906654691
2009-11-01,0.0929912266043657,0.17574772481724968,0.040094795146892084,0.1533787071798155,0.018668505945558633,0.12397286051066006,0.09416044521184685,0.1232352697302124,0.08876335074163771,0.11468898084370563,0.10135709490573262,0.04324910134408486,7.59172124459124,1.25,0.019747695719815495,0.015431348724179728,0.0011219324383320295,0.08696600953415556,0.033300164592055204,0.08565374335126763,0.029594168643480856
2009-12-01,0.11208518091062497,0.19019163167033176,0.06216884752147364,0.1502695295970648,0.06988936555425908,0.16566447323258868,0.08979299786353964,0.15868928037991298,0.09586583599608828,0.10761483367402876,0.16008591992391516,0.11194265216327351,9.34554991623123,1.25,0.01644570405696899,-0.008765107095847768,-0.003161041664900388,-0.02326548227570846,-0.013231758537786797,-0.005551394660015974,-0.04340363170480621
2010-01-01,0.1303080855444596,0.1972591974145737,0.08769393630910986,0.15040249687886656,0.1137435322693191,0.2017243190563365,0.08915333053707594,0.19064542164455353,0.1033208479373286,0.10516040492618005,0.20189289172479144,0.17048397332773424,7.59672417483289,1.25,0.01618183731732703,0.036426739097630945,-0.0029504327751910253,-0.03324050314771465,-0.015487492000868519,-0.04676995638942594,0.050775197349588685
