Fecha,CPI,CPI Tradable,CPI Non-Tradable,CPI Core,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index)
2009-05-01,0.1481542040927282,0.0635326468038057,0.2076760530244618,0.2664533384741354,-0.0092148413125227,0.110735853240931,0.2110362317385188,0.204802159676482,0.101722168704311,0.2180519330598839,-0.3786987613009694,-0.1741018078442802,8.22146967540043,4.0,0.0031488448371177,0.003539367418514,0.0004302449101474
2009-06-01,0.1312192339345547,0.0692636939122812,0.1754263610075975,0.2472132484028079,-0.0224608060088637,0.0981934433478202,0.1918161408349424,0.1811633308519566,0.0933482211498533,0.2028638636040419,-0.3314103807193602,-0.1711358003336759,8.37258648376245,3.0,0.0119519040293014,-0.0127929718811119,0.0034073344800349
2009-07-01,0.1189500986868885,0.0786917201923223,0.148505042471993,0.22946419267352,-0.0266796366291527,0.0933932574184617,0.1735650752508101,0.1645893279159944,0.0874888390228667,0.1879510672176402,-0.2747374245003578,-0.1547029355667702,9.3340612076001,2.0,0.0156901467264094,0.0421890224098733,-0.0018634040753895
2009-08-01,0.111296292473508,0.0910101152245537,0.1273771740233421,0.2136444683674341,-0.0226325451822044,0.0956397261679964,0.1569345767507296,0.1546247754220342,0.0843562649467299,0.1738905002539077,-0.2114583147989985,-0.1263736137193478,7.80579700395871,1.25,0.0124788561631792,-0.0041758858175698,0.0020783513890556
2009-09-01,0.1079909251274123,0.1054725667084069,0.11210472864638,0.2000714603405255,-0.0114266751760192,0.1039304866031972,0.1424662468390454,0.1504549218583313,0.0840805359848021,0.1611773629984616,-0.1442046364702755,-0.0880561145548654,8.56548050070261,1.25,0.0091829899760065,0.0054764512595837,0.0008726259905695
2009-10-01,0.1086144682788564,0.121355298444556,0.1024754674474793,0.1889387515662091,0.00565807579539,0.1171306260413934,0.1305392861345233,0.1511654147313641,0.0866155021040386,0.1501952819738509,-0.0754922633230403,-0.0419355544462264,8.0541580411717,1.25,0.009534187066297,0.024587612822907,-0.0012247586838809
2009-11-01,0.1126491591822363,0.1379121258126086,0.0981218759841209,0.1803276160533488,0.0272918351067788,0.1341118980353139,0.1213351931580784,0.1559516896886797,0.0916663896807432,0.1412016199916003,-0.0077608609036926,0.0095882971371844,7.59172124459124,1.25,0.0197476957198154,0.0154313487241797,0.001121932438332
2009-12-01,0.1195176625039146,0.1543692482574554,0.0985891217076787,0.1742271193330396,0.0521541740558621,0.1538231393948154,0.1148405661960537,0.1642010023815424,0.0986912892098797,0.1343332568003175,0.0566648465613479,0.0640126990247845,9.34554991623123,1.25,0.0164457040569689,-0.0087651070958477,-0.0031610416649003
2010-01-01,0.1286142343042099,0.1699888718222912,0.1033463641916973,0.1705567611505603,0.0789621006344413,0.1753102368269136,0.1108863288080558,0.17544532774903,0.1069959390273773,0.1296278988701982,0.1157514675774827,0.1189147050257168,7.59672417483289,1.25,0.016181837317327,0.0364267390976309,-0.002950432775191
2010-02-01,0.139338137418941,0.1841870772362198,0.1117673487722799,0.1691842010975088,0.1065073326316681,0.1977211448576072,0.1092046959474194,0.1892472737054167,0.1158865135553412,0.1270462024390785,0.1680203330749158,0.1721806760056019,7.21609029844799,1.25,0.018063321767602,0.0194514006173198,-0.0032147131687916
2010-03-01,0.1511269328391358,0.196653670289354,0.1231102213333159,0.1699360851447913,0.1337078488074001,0.2203104511438838,0.1094855744859568,0.2050929597554125,0.124813688235018,0.1264836437808681,0.2127546157634605,0.2221966301662844,7.60548480935954,1.25,0.0151081881624652,0.0073978863181947,-0.0028002575205736
2010-04-01,0.1634851144072417,0.2074114418439948,0.1365285123558046,0.1726054773445071,0.159664980309511,0.2424500755531188,0.1114207137555516,0.2223515974973503,0.1334529350969774,0.1277752746120305,0.2500322884221471,0.2679298067883307,7.18925913390464,1.25,0.0221668298989008,-0.00623777254813,-0.0002535100597241
2010-05-01,0.1760151654058157,0.2167835631324232,0.1511441940525879,0.1769607811847007,0.1837374638530251,0.263665198453166,0.1147318780973463,0.2403441669477728,0.1417024270814622,0.1307035294266274,0.280572003480791,0.308900453388602,7.15722484746346,1.5,0.0246581879754701,-0.0125253216924876,-0.0023729536954999
2010-06-01,0.1884535030219588,0.2252765914763273,0.1661819960256128,0.1827560389724692,0.2056330302887082,0.2837044026320564,0.1191773471965582,0.2585110473287394,0.149612827259569,0.1350093995929452,0.3054574503808338,0.3450636750685143,7.76593144164593,1.75,0.0202768079084356,0.0211210632765097,-0.0025022105269491
2010-07-01,0.2006904483328592,0.2334161489450963,0.181107453441581,0.1897405974451655,0.2254594281624048,0.3026008466803397,0.1245354629401617,0.2765901333600324,0.1572800754473047,0.1404030507370911,0.3258146683575539,0.3766224573733428,9.37919749821332,2.0,0.0190740154314275,0.0932061911094761,-0.0036263555603592
2010-08-01,0.2127500367617764,0.2415903087519365,0.1956945360179992,0.1976684461415539,0.2436641443599406,0.3206573124738924,0.1305803892168352,0.2946884073767026,0.1647462013216812,0.1465774796900633,0.3425276788569723,0.4038226862840186,8.59443971286075,2.5,0.0160239843121818,0.0406108450886502,-0.0026779626624581
2010-09-01,0.224729369766449,0.2499532832034273,0.2099891514870549,0.2063056499590848,0.2608612950101555,0.3383311444073479,0.1370717965944349,0.3131897667683507,0.1719524546798748,0.1532282231734407,0.3560868544695271,0.426801892891115,8.83544494677625,3.0,0.0163608594619908,0.0562133121082479,0.0003201836694843
2010-10-01,0.2367220344578341,0.2584167397483864,0.2241909178040103,0.215434129337816,0.2776156128918444,0.3560621703169933,0.1437655505982384,0.3325372252568948,0.1787620120490728,0.1600771583766362,0.3666139527537831,0.4455277759068572,11.1239765739606,3.0,0.0242906572255234,0.0115862848530519,0.0014192277097966
2010-11-01,0.2487484908546337,0.2667165069463061,0.2384979033960997,0.2248494504299896,0.2942543722544029,0.3740997120820997,0.1504380064330099,0.3529705067215244,0.1850317640631822,0.1668926742066348,0.3740257766115682,0.4598184743704313,10.6336051012907,3.0,0.0238558346619151,0.0267250209516713,-7.904780909162579e-05
2010-12-01,0.260710483658413,0.2745146616889792,0.2529672954567898,0.2343532310263205,0.3107573479708814,0.3923816990222031,0.1569091308785153,0.3743249194907018,0.190682942992317,0.1734965481911614,0.3782262479272008,0.4694080149994738,16.4558322981118,3.0,0.0151161822393413,2.267368039188256e-05,0.05266680331909
2011-01-01,0.2723816630766604,0.2814868781440048,0.2674434178000517,0.2437454664653155,0.3267517708216417,0.4105053406784829,0.1630536463534708,0.3959790810867662,0.1957272279194221,0.1797572127489976,0.3792139051949115,0.4740101615634481,12.7040646458697,3.25,0.0127994928088106,0.009205305520916,-0.0038891795274145
2011-02-01,0.2834402172242406,0.2873651665870348,0.2815812957616119,0.2528228201544686,0.3416180396854084,0.4278061603062116,0.1687985046482147,0.4169777456750492,0.2002418286881244,0.1855775484218614,0.3770822780846714,0.4733645424626617,12.2739932429274,3.5,0.0053637372064614,0.0394733886005707,0.030542773935732
2011-03-01,0.2935327450453376,0.2919320823613345,0.2949514317015773,0.261381315262709,0.3546730974334363,0.4435227535070376,0.1741043576925108,0.4362827993296805,0.2043088090014903,0.1908805672327174,0.3719641319109736,0.4672778071865199,11.6531186750104,3.75,0.0079485072391753,-0.0030474626091466,-0.0069756808131959
2011-04-01,0.3023365008891087,0.2949854377457486,0.3071615495595937,0.2692227075648731,0.365336202440724,0.456969318976153,0.1789340223578005,0.4530330360238285,0.2079436840309432,0.1955947786876687,0.3639604939504318,0.4556568646783538,13.2722473302746,4.0,0.0167814428744903,0.0083465215600406,-0.0067630793760274
2011-05-01,0.3095934087876975,0.2963071866703841,0.3179312435922449,0.2761659619002912,0.3732009976096478,0.4676429259056993,0.1832221232848415,0.4666935590733009,0.2110502283609729,0.1996456182610903,0.3530884248240473,0.4385317915016263,12.4847028592349,4.25,0.0158825510770423,-0.004407464740282,0.0002371156027918
